street_number,street_name,city,state,zip
1315,S ORANGE AVE,Orlando,FL,32806
544,N BUMBY AVE,Orlando,FL,32803
189,S ORANGE AVE,Orlando,FL,32801
36,E JACKSON ST,Orlando,FL,32801
2042,ORANGE CENTER BLVD,Orlando,FL,32805
400,W COLONIAL DR,Orlando,FL,32804
1162,W CYPRESS ST,Orlando,FL,32805
133,S ORANGE AVE,Orlando,FL,32801
709,EASY AVE,Orlando,FL,32805
2180,FOREST CIR,Orlando,FL,32803
888,N ORANGE AVE,Orlando,FL,32801
900,OAK ST,Orlando,FL,32804
85,FRED L MAXWELL BLVD,Orlando,FL,32805
363,N ORANGE AVE,Orlando,FL,32801
1007,W GORE ST,Orlando,FL,32805
1400,N ORANGE BLOSSOM TRL,Orlando,FL,32804
1017,FEDERAL ST,Orlando,FL,32805
784,E MICHIGAN ST,Orlando,FL,32806
2007,S COUNTRYSIDE CIR,Orlando,FL,32804
128,LAKESIDE BLVD,Hopatcong,NJ,07843
53,POINT PLEASANT RD,Hopatcong,NJ,07843
11,DEER TRL,Hopatcong,NJ,07843
346,DUPONT AVE,Hopatcong,NJ,07843
138,LAKESIDE BLVD,Landing,NJ,07850
290,MOUNT ARLINGTON BLVD,Landing,NJ,07850
13,WABASH TRL,Andover,NJ,07821
470,RIVER STYX RD,Hopatcong,NJ,07843
147,BELL AVE,Hopatcong,NJ,07843
518,LAKESIDE AVE,Andover,NJ,07821
2,BILLINGS RD,Hopatcong,NJ,07843
157,STANHOPE SPARTA RD,Andover,NJ,07821
33,JEFFERSON TRL,Hopatcong,NJ,07843
4,PEBBLE BEACH RD,Hopatcong,NJ,07843
110,WELLESLEY TRL,Hopatcong,NJ,07843
39,LAUREL TRL,Hopatcong,NJ,07843
172,DARTMOUTH TRL,Hopatcong,NJ,07843
63,CANAL ST,Landing,NJ,07850
240,WELDON RD,Lake Hopatcong,NJ,07849
91,WELDON RD,Lake Hopatcong,NJ,07849
1068,WELDON RD,Oak Ridge,NJ,07438
500,WELDON RD,Lake Hopatcong,NJ,07849
38,HIGHVIEW TRL,Wharton,NJ,07885
8,W SHAWNEE TRL,Wharton,NJ,07885
222,SPARTA MT RD,Oak Ridge,NJ,07438
55,SOMERSET ST,Clearwater,FL,33767
715,GROVE ST,Clearwater,FL,33755
714,CLEVELAND ST,Clearwater,FL,33755
520,D ST,Clearwater,FL,33756
301,S GULFVIEW BLVD,Clearwater,FL,33767
611,DRUID RD E,Clearwater,FL,33756
327,CORONADO DR,Clearwater,FL,33767
805,PARK ST,Clearwater,FL,33756
24,AVALON ST,Clearwater,FL,33767
1310,CLEVELAND ST,Clearwater,FL,33755
1125,ELDRIDGE ST,Clearwater,FL,33755
610,LAKEVIEW RD,Clearwater,FL,33756
221,TURNER ST,Clearwater,FL,33756
1375,S FORT HARRISON AVE,Clearwater,FL,33756
811,CLEVELAND ST,Clearwater,FL,33755
1415,TAFT AVE,Clearwater,FL,33755
1456,LAKEVIEW RD,Clearwater,FL,33756
1501,S FORT HARRISON AVE,Clearwater,FL,33756
1831,BRACKLAND ST,Jacksonville,FL,32206
1351,W 5TH ST,Jacksonville,FL,32209
18TH,W 18TH ST,Jacksonville,FL,32209
1628,PIAZZA PL,Jacksonville,FL,32207
1326,N MAIN ST,Jacksonville,FL,32206
2114,BLUE AVE,Jacksonville,FL,32209
1336,CLEVELAND ST,Jacksonville,FL,32209
1625,JESSIE ST,Jacksonville,FL,32206
1510,TALLEYRAND AVE,Jacksonville,FL,32206
1816,TYLER ST,Jacksonville,FL,32209
1309,N LEE ST,Jacksonville,FL,32209
343,E CHURCH ST,Jacksonville,FL,32202
2306,MONCRIEF RD,Jacksonville,FL,32209
1447,W 1ST ST,Jacksonville,FL,32209
1912,BRACKLAND ST,Jacksonville,FL,32206
25TH,W 25TH ST,Jacksonville,FL,32209
3416,MONCRIEF RD,Jacksonville,FL,32209
1158,W 6TH ST,Jacksonville,FL,32209
3104,MONCRIEF RD,Jacksonville,FL,32209
1541,BRICKELL AVE,Miami,FL,33129
